OrderDetailID,OrderID,ProductID,Quantity,SubTotal
1,604,207,7,88.76
2,959,780,4,88.76
3,280,296,5,88.76
4,637,118,6,88.76
5,483,532,5,88.76
6,909,222,1,88.76
7,111,166,9,88.76
8,866,643,2,88.76
9,139,156,9,88.76
10,996,184,2,88.76
11,435,90,9,88.76
12,509,94,6,88.76
13,273,13,9,88.76
14,99,973,6,88.76
15,764,834,6,88.76
16,850,805,2,88.76
17,104,945,8,88.76
18,214,742,3,88.76
19,761,834,7,88.76
20,664,804,5,88.76
21,762,438,3,88.76
22,787,538,1,88.76
23,165,587,8,88.76
24,999,968,3,88.76
25,853,876,2,88.76
26,520,936,1,88.76
27,284,811,4,88.76
28,517,150,8,88.76
29,657,660,3,88.76
30,613,8,1,88.76
31,164,29,4,88.76
32,886,296,9,88.76
33,659,986,1,88.76
34,64,926,2,88.76
35,91,721,9,88.76
36,117,640,2,88.76
37,866,340,3,88.76
38,267,628,7,88.76
39,822,439,3,88.76
40,685,144,9,88.76
41,559,942,6,88.76
42,140,830,3,88.76
43,246,747,9,88.76
44,661,519,1,88.76
45,758,976,3,88.76
46,395,45,1,88.76
47,487,955,2,88.76
48,476,239,8,88.76
49,517,952,7,88.76
50,977,944,2,88.76
51,184,155,2,88.76
52,20,181,9,88.76
53,937,215,6,88.76
54,558,88,5,88.76
55,524,256,6,88.76
56,582,511,9,88.76
57,529,73,7,88.76
58,883,931,9,88.76
59,147,179,4,88.76
60,666,212,2,88.76
61,304,805,8,88.76
62,620,234,4,88.76
63,748,465,9,88.76
64,820,751,4,88.76
65,864,223,8,88.76
66,582,631,9,88.76
67,695,825,9,88.76
68,762,264,4,88.76
69,228,207,1,88.76
70,102,607,3,88.76
71,587,885,9,88.76
72,417,734,4,88.76
73,958,366,5,88.76
74,216,276,7,88.76
75,407,380,5,88.76
76,399,743,4,88.76
77,923,309,2,88.76
78,715,631,2,88.76
79,704,268,4,88.76
80,761,945,9,88.76
81,499,785,8,88.76
82,754,64,3,88.76
83,465,810,9,88.76
84,691,350,5,88.76
85,949,925,3,88.76
86,974,915,5,88.76
87,731,494,4,88.76
88,82,523,8,88.76
89,604,98,5,88.76
90,947,946,8,88.76
91,687,71,9,88.76
92,751,364,4,88.76
93,772,570,7,88.76
94,903,802,2,88.76
95,365,763,6,88.76
96,163,276,8,88.76
97,48,50,7,88.76
98,511,358,7,88.76
99,329,728,8,88.76
100,840,906,7,88.76
101,116,928,5,88.76
102,941,564,7,88.76
103,849,783,3,88.76
104,337,485,5,88.76
105,881,84,7,88.76
106,737,899,9,88.76
107,864,805,2,88.76
108,840,638,4,88.76
109,147,808,7,88.76
110,575,584,1,88.76
111,806,296,2,88.76
112,323,236,9,88.76
113,443,56,7,88.76
114,837,919,7,88.76
115,13,360,6,88.76
116,943,907,3,88.76
117,494,110,3,88.76
118,701,192,2,88.76
119,287,904,6,88.76
120,720,93,4,88.76
121,114,862,5,88.76
122,480,568,3,88.76
123,22,60,6,88.76
124,349,650,3,88.76
125,726,39,8,88.76
126,683,540,9,88.76
127,835,49,4,88.76
128,566,420,9,88.76
129,906,637,7,88.76
130,810,13,3,88.76
131,320,992,7,88.76
132,126,36,1,88.76
133,277,101,3,88.76
134,976,794,6,88.76
135,204,86,4,88.76
136,194,516,7,88.76
137,681,223,3,88.76
138,664,338,1,88.76
139,547,960,9,88.76
140,696,166,6,88.76
141,286,383,8,88.76
142,57,856,3,88.76
143,734,895,8,88.76
144,303,376,2,88.76
145,163,471,4,88.76
146,19,790,3,88.76
147,370,642,1,88.76
148,264,31,7,88.76
149,794,375,2,88.76
150,113,11,4,88.76
151,488,988,9,88.76
152,327,302,6,88.76
153,542,96,8,88.76
154,647,190,2,88.76
155,579,453,7,88.76
156,65,192,6,88.76
157,292,486,9,88.76
158,25,266,7,88.76
159,549,424,1,88.76
160,1,128,8,88.76
161,911,238,3,88.76
162,549,920,2,88.76
163,141,355,3,88.76
164,744,940,6,88.76
165,648,112,3,88.76
166,901,828,5,88.76
167,188,446,6,88.76
168,128,343,8,88.76
169,201,145,7,88.76
170,127,65,8,88.76
171,257,247,3,88.76
172,676,735,4,88.76
173,547,991,6,88.76
174,194,490,7,88.76
175,703,825,9,88.76
176,104,439,1,88.76
177,535,106,8,88.76
178,265,181,8,88.76
179,802,184,6,88.76
180,942,226,4,88.76
181,974,777,3,88.76
182,384,790,3,88.76
183,260,909,6,88.76
184,414,89,8,88.76
185,991,688,7,88.76
186,358,530,1,88.76
187,75,371,6,88.76
188,355,972,7,88.76
189,584,936,7,88.76
190,771,913,9,88.76
191,910,399,5,88.76
192,188,106,1,88.76
193,973,271,2,88.76
194,685,975,4,88.76
195,992,831,5,88.76
196,290,503,9,88.76
197,45,679,1,88.76
198,573,525,3,88.76
199,83,849,5,88.76
200,123,32,3,88.76
201,358,393,4,88.76
202,528,40,3,88.76
203,66,660,4,88.76
204,936,218,1,88.76
205,657,731,8,88.76
206,375,981,4,88.76
207,162,82,7,88.76
208,746,845,2,88.76
209,380,720,2,88.76
210,656,201,6,88.76
211,358,447,2,88.76
212,188,844,6,88.76
213,322,428,2,88.76
214,450,38,4,88.76
215,474,211,7,88.76
216,13,444,8,88.76
217,184,327,3,88.76
218,111,761,9,88.76
219,927,227,2,88.76
220,508,48,8,88.76
221,290,18,8,88.76
222,295,912,4,88.76
223,451,439,1,88.76
224,904,807,1,88.76
225,215,708,2,88.76
226,974,187,9,88.76
227,632,345,2,88.76
228,894,224,2,88.76
229,567,830,6,88.76
230,27,488,7,88.76
231,630,909,7,88.76
232,733,877,9,88.76
233,231,849,6,88.76
234,565,229,8,88.76
235,807,390,6,88.76
236,321,979,2,88.76
237,913,589,1,88.76
238,233,188,5,88.76
239,670,858,9,88.76
240,437,270,8,88.76
241,781,607,4,88.76
242,533,310,5,88.76
243,403,132,5,88.76
244,53,551,6,88.76
245,787,72,3,88.76
246,313,793,5,88.76
247,281,845,2,88.76
248,726,672,1,88.76
249,31,187,1,88.76
250,337,486,7,88.76
251,183,191,2,88.76
252,23,422,4,88.76
253,544,120,5,88.76
254,446,220,7,88.76
255,74,53,2,88.76
256,10,734,6,88.76
257,484,451,1,88.76
258,456,412,7,88.76
259,566,643,9,88.76
260,564,237,5,88.76
261,660,758,5,88.76
262,160,738,4,88.76
263,882,720,3,88.76
264,14,406,9,88.76
265,178,608,5,88.76
266,412,422,8,88.76
267,878,712,9,88.76
268,53,247,5,88.76
269,408,72,9,88.76
270,847,830,2,88.76
271,22,185,9,88.76
272,30,6,4,88.76
273,703,206,6,88.76
274,260,544,6,88.76
275,205,611,6,88.76
276,59,906,2,88.76
277,471,387,7,88.76
278,776,768,6,88.76
279,466,699,1,88.76
280,12,76,2,88.76
281,631,177,7,88.76
282,927,827,1,88.76
283,974,799,1,88.76
284,290,349,1,88.76
285,850,255,8,88.76
286,760,837,4,88.76
287,354,702,4,88.76
288,639,308,2,88.76
289,75,345,1,88.76
290,873,127,9,88.76
291,716,937,7,88.76
292,561,287,4,88.76
293,591,766,6,88.76
294,441,725,2,88.76
295,991,762,7,88.76
296,241,596,2,88.76
297,861,487,8,88.76
298,154,383,8,88.76
299,786,406,1,88.76
300,96,388,8,88.76
301,726,525,2,88.76
302,294,557,6,88.76
303,209,639,1,88.76
304,343,938,5,88.76
305,88,626,7,88.76
306,818,945,1,88.76
307,776,276,2,88.76
308,937,500,7,88.76
309,390,717,6,88.76
310,325,337,3,88.76
311,940,950,2,88.76
312,889,932,4,88.76
313,832,481,3,88.76
314,157,897,7,88.76
315,668,911,8,88.76
316,651,973,2,88.76
317,633,273,7,88.76
318,577,920,8,88.76
319,619,58,6,88.76
320,659,328,6,88.76
321,137,731,1,88.76
322,923,109,4,88.76
