OrderID,CustomerID,OrderDate,TotalAmount
1,159,2023-09-02,353.8
2,188,2025-03-08,353.8
3,60,2023-04-04,353.8
4,915,2023-07-06,353.8
5,817,2024-10-12,353.8
6,319,2024-09-05,353.8
7,878,2024-05-07,353.8
8,211,2024-07-30,353.8
9,406,2024-01-25,353.8
10,664,2023-04-05,353.8
11,109,2025-02-12,353.8
12,76,2024-06-29,353.8
13,542,2024-08-18,353.8
14,314,2024-11-08,353.8
15,998,2023-09-03,353.8
16,117,2024-10-04,353.8
17,927,2025-01-29,353.8
18,868,2023-11-11,353.8
19,704,2025-01-31,353.8
20,19,2023-04-11,353.8
21,432,2024-07-02,353.8
22,685,2024-02-27,353.8
23,740,2024-07-07,353.8
24,350,2024-07-09,353.8
25,183,2024-09-07,353.8
26,113,2024-08-26,353.8
27,183,2024-06-03,353.8
28,481,2024-09-26,353.8
29,146,2023-06-09,353.8
30,831,2024-05-18,353.8
31,628,2024-06-11,353.8
32,113,2023-10-15,353.8
33,763,2023-06-27,353.8
34,476,2024-07-24,353.8
35,763,2024-03-15,353.8
36,303,2024-06-25,353.8
37,971,2023-12-20,353.8
38,825,2023-09-26,353.8
39,118,2024-05-08,353.8
40,813,2024-08-31,353.8
41,161,2024-07-25,353.8
42,401,2024-01-23,353.8
43,198,2023-12-05,353.8
44,260,2024-10-10,353.8
45,660,2024-05-19,353.8
46,752,2023-10-29,353.8
47,47,2025-03-18,353.8
48,987,2023-09-04,353.8
49,399,2024-07-01,353.8
50,710,2023-06-20,353.8
51,559,2023-11-28,353.8
52,78,2023-09-09,353.8
53,124,2024-03-10,353.8
54,75,2024-08-04,353.8
55,871,2024-04-15,353.8
56,137,2024-05-24,353.8
57,602,2023-06-26,353.8
58,400,2023-12-03,353.8
59,837,2023-12-28,353.8
60,505,2023-11-14,353.8
61,500,2024-04-22,353.8
62,573,2024-12-31,353.8
63,138,2024-03-03,353.8
64,50,2023-06-06,353.8
65,771,2023-12-09,353.8
66,973,2025-01-02,353.8
67,619,2023-07-23,353.8
68,625,2023-05-09,353.8
69,862,2023-05-19,353.8
70,254,2024-11-08,353.8
71,630,2023-10-05,353.8
72,710,2023-04-25,353.8
73,849,2024-09-02,353.8
74,877,2024-01-28,353.8
75,563,2025-02-06,353.8
76,757,2025-02-08,353.8
77,915,2024-06-25,353.8
78,426,2024-09-28,353.8
79,547,2024-12-26,353.8
80,302,2024-07-13,353.8
81,922,2023-11-05,353.8
82,581,2024-03-10,353.8
83,349,2024-05-16,353.8
84,832,2023-11-01,353.8
85,933,2024-07-31,353.8
86,980,2024-09-19,353.8
87,49,2025-03-12,353.8
88,917,2024-10-19,353.8
89,74,2023-04-19,353.8
90,704,2023-07-05,353.8
91,261,2023-09-01,353.8
92,356,2023-04-11,353.8
93,582,2023-10-12,353.8
94,602,2023-07-21,353.8
95,260,2024-04-01,353.8
96,638,2023-11-10,353.8
97,743,2024-10-13,353.8
98,295,2024-12-25,353.8
99,931,2024-09-07,353.8
100,641,2025-04-03,353.8
101,792,2023-08-26,353.8
102,313,2024-05-26,353.8
103,612,2024-09-11,353.8
104,838,2024-01-10,353.8
105,809,2023-07-01,353.8
106,182,2024-08-30,353.8
107,686,2025-02-12,353.8
108,828,2024-12-19,353.8
109,364,2024-01-10,353.8
110,188,2024-04-17,353.8
111,569,2024-03-01,353.8
112,543,2024-02-24,353.8
113,596,2023-12-29,353.8
114,664,2023-11-20,353.8
115,985,2023-10-19,353.8
116,548,2024-12-28,353.8
117,725,2024-01-07,353.8
118,926,2024-06-21,353.8
119,408,2024-09-11,353.8
120,876,2024-11-03,353.8
121,618,2023-11-23,353.8
122,414,2024-11-08,353.8
123,342,2023-07-12,353.8
124,220,2024-01-18,353.8
125,903,2024-11-27,353.8
126,163,2024-07-16,353.8
127,951,2024-09-16,353.8
128,220,2024-05-10,353.8
129,270,2024-02-18,353.8
130,632,2024-12-21,353.8
131,906,2024-09-10,353.8
132,848,2023-05-29,353.8
133,400,2025-02-03,353.8
134,182,2024-09-04,353.8
135,991,2023-11-29,353.8
136,618,2023-09-06,353.8
137,729,2023-08-15,353.8
138,205,2024-05-21,353.8
139,582,2023-12-25,353.8
140,556,2024-12-28,353.8
141,841,2024-08-15,353.8
142,813,2024-01-01,353.8
143,228,2023-06-19,353.8
144,696,2024-07-05,353.8
145,619,2023-04-12,353.8
146,596,2025-03-26,353.8
147,850,2024-05-19,353.8
148,250,2023-08-15,353.8
149,875,2025-03-02,353.8
150,441,2023-05-13,353.8
151,533,2024-06-24,353.8
152,196,2023-04-06,353.8
153,690,2024-03-16,353.8
154,929,2024-06-07,353.8
155,987,2023-05-31,353.8
156,519,2023-08-18,353.8
157,70,2024-08-27,353.8
158,639,2025-01-04,353.8
159,399,2024-07-30,353.8
160,978,2023-06-12,353.8
161,672,2023-05-10,353.8
162,760,2024-03-02,353.8
163,203,2024-04-16,353.8
164,148,2023-07-05,353.8
165,472,2024-04-16,353.8
166,655,2023-12-10,353.8
167,944,2023-06-28,353.8
168,199,2023-11-08,353.8
169,917,2024-09-08,353.8
170,426,2025-02-02,353.8
171,666,2023-09-27,353.8
172,492,2023-10-10,353.8
173,888,2024-06-01,353.8
174,896,2024-08-03,353.8
175,142,2023-05-09,353.8
176,313,2023-09-02,353.8
177,165,2025-01-29,353.8
178,314,2025-01-20,353.8
179,21,2023-10-29,353.8
180,82,2025-02-10,353.8
181,581,2024-03-12,353.8
182,131,2024-08-10,353.8
183,599,2024-05-14,353.8
184,730,2023-11-27,353.8
185,933,2024-02-06,353.8
186,984,2025-01-24,353.8
187,305,2023-11-17,353.8
188,915,2024-05-10,353.8
189,371,2023-11-15,353.8
190,857,2023-11-11,353.8
191,853,2024-12-13,353.8
192,384,2025-01-11,353.8
193,908,2023-10-03,353.8
194,445,2023-08-19,353.8
195,425,2023-09-04,353.8
196,161,2025-02-07,353.8
197,178,2025-01-11,353.8
198,629,2023-06-06,353.8
199,708,2024-11-14,353.8
200,895,2024-05-26,353.8
201,490,2024-09-03,353.8
202,327,2024-06-19,353.8
203,598,2024-09-29,353.8
204,289,2023-08-06,353.8
205,593,2023-10-06,353.8
206,664,2025-01-19,353.8
207,573,2024-02-28,353.8
208,573,2023-07-22,353.8
209,354,2023-11-21,353.8
210,28,2024-01-01,353.8
211,954,2023-05-23,353.8
212,43,2023-07-05,353.8
213,681,2023-12-22,353.8
214,423,2024-09-01,353.8
215,598,2023-12-01,353.8
216,177,2023-05-03,353.8
217,529,2024-02-24,353.8
218,610,2024-02-13,353.8
219,966,2024-04-09,353.8
220,494,2023-08-21,353.8
221,198,2025-01-26,353.8
222,610,2024-12-16,353.8
223,577,2024-09-24,353.8
224,842,2025-02-01,353.8
225,853,2024-11-03,353.8
226,517,2024-05-27,353.8
227,514,2023-06-06,353.8
228,22,2023-10-05,353.8
229,112,2024-12-07,353.8
230,57,2023-05-31,353.8
231,66,2024-03-21,353.8
232,842,2025-01-16,353.8
233,98,2024-04-24,353.8
234,144,2023-08-26,353.8
235,880,2025-02-01,353.8
236,435,2023-10-09,353.8
237,637,2024-02-14,353.8
238,679,2024-04-21,353.8
239,86,2023-10-27,353.8
240,588,2025-02-15,353.8
241,344,2023-09-27,353.8
242,936,2023-07-10,353.8
243,294,2024-11-13,353.8
244,956,2023-07-21,353.8
245,571,2025-03-11,353.8
246,650,2023-07-18,353.8
247,611,2023-10-13,353.8
248,704,2024-09-28,353.8
249,243,2024-05-26,353.8
250,831,2023-12-16,353.8
251,561,2024-01-24,353.8
252,960,2023-08-14,353.8
253,32,2024-02-22,353.8
254,391,2023-11-06,353.8
255,277,2024-11-27,353.8
256,532,2024-01-11,353.8
257,154,2024-04-21,353.8
258,383,2023-10-27,353.8
259,68,2024-09-21,353.8
260,878,2023-04-19,353.8
261,884,2024-04-18,353.8
262,214,2023-10-26,353.8
263,655,2024-10-17,353.8
264,376,2023-12-25,353.8
265,744,2025-01-11,353.8
266,213,2024-11-08,353.8
267,79,2024-03-10,353.8
268,726,2024-10-03,353.8
269,628,2024-12-25,353.8
270,604,2024-10-31,353.8
271,782,2024-07-06,353.8
272,923,2024-05-14,353.8
273,381,2024-11-06,353.8
274,680,2025-01-18,353.8
275,58,2024-01-03,353.8
276,796,2024-11-30,353.8
277,26,2023-11-18,353.8
278,881,2023-09-07,353.8
279,447,2024-01-05,353.8
280,66,2023-04-23,353.8
281,921,2025-01-31,353.8
282,760,2023-08-02,353.8
283,254,2023-11-04,353.8
284,899,2023-12-28,353.8
285,968,2024-05-27,353.8
286,44,2024-03-31,353.8
287,97,2025-01-25,353.8
288,554,2023-08-18,353.8
289,227,2024-11-13,353.8
290,774,2023-06-10,353.8
291,679,2023-07-29,353.8
292,436,2025-02-11,353.8
293,791,2023-10-30,353.8
294,601,2024-11-30,353.8
295,379,2024-09-20,353.8
296,178,2023-06-25,353.8
297,427,2024-09-15,353.8
298,915,2024-10-10,353.8
299,709,2023-04-13,353.8
300,307,2024-12-25,353.8
301,779,2024-02-23,353.8
302,504,2023-04-12,353.8
303,268,2025-03-23,353.8
304,586,2024-01-05,353.8
305,8,2023-07-16,353.8
306,920,2025-04-01,353.8
307,508,2024-09-17,353.8
308,476,2023-12-21,353.8
309,297,2024-08-23,353.8
310,164,2024-05-01,353.8
311,485,2024-06-13,353.8
312,597,2024-04-06,353.8
313,72,2025-02-19,353.8
314,567,2024-07-13,353.8
315,905,2025-03-20,353.8
316,559,2023-08-27,353.8
317,911,2025-03-16,353.8
318,944,2024-06-14,353.8
319,238,2025-03-09,353.8
320,104,2025-01-17,353.8
321,210,2023-12-20,353.8
322,554,2024-09-12,353.8
323,828,2023-10-03,353.8
324,468,2024-03-15,353.8
325,454,2023-08-04,353.8
326,268,2024-05-08,353.8
327,386,2024-03-13,353.8
328,775,2024-11-29,353.8
329,848,2023-10-21,353.8
330,387,2024-02-15,353.8
331,877,2023-11-06,353.8
332,259,2025-03-20,353.8
333,283,2024-10-31,353.8
334,626,2023-11-09,353.8
335,875,2023-12-31,353.8
336,40,2023-08-24,353.8
337,486,2023-04-16,353.8
338,929,2023-11-19,353.8
339,220,2023-05-30,353.8
340,129,2025-01-17,353.8
341,520,2024-11-12,353.8
342,613,2023-12-26,353.8
343,928,2024-07-16,353.8
344,892,2023-06-01,353.8
345,688,2023-09-08,353.8
346,619,2024-07-03,353.8
347,613,2024-04-12,353.8
348,260,2023-09-04,353.8
349,990,2023-11-16,353.8
350,966,2024-03-08,353.8
351,366,2025-01-20,353.8
352,758,2024-08-11,353.8
353,787,2024-05-05,353.8
354,544,2023-10-26,353.8
355,649,2023-11-03,353.8
356,524,2024-04-11,353.8
357,907,2025-01-30,353.8
358,814,2025-01-05,353.8
359,887,2023-09-18,353.8
360,16,2024-04-04,353.8
361,129,2024-03-24,353.8
362,575,2024-02-18,353.8
363,109,2023-05-03,353.8
364,887,2023-10-24,353.8
365,533,2023-07-01,353.8
366,670,2023-05-13,353.8
367,269,2023-05-11,353.8
368,162,2023-09-15,353.8
369,260,2023-12-26,353.8
370,924,2024-07-14,353.8
371,102,2024-01-20,353.8
372,506,2023-12-01,353.8
373,735,2023-06-16,353.8
374,571,2023-11-08,353.8
375,247,2025-02-14,353.8
376,640,2023-12-24,353.8
377,795,2023-11-28,353.8
378,837,2024-11-01,353.8
379,537,2023-04-17,353.8
380,131,2024-09-21,353.8
381,353,2024-11-29,353.8
382,196,2024-05-26,353.8
383,793,2025-02-15,353.8
384,916,2024-01-01,353.8
385,930,2025-02-05,353.8
386,666,2025-01-20,353.8
387,382,2024-11-01,353.8
388,645,2023-05-28,353.8
389,227,2024-08-31,353.8
390,701,2023-07-08,353.8
391,476,2023-04-14,353.8
392,477,2023-11-01,353.8
393,265,2023-06-20,353.8
394,372,2025-03-01,353.8
395,486,2025-03-20,353.8
396,434,2024-06-24,353.8
397,646,2024-09-01,353.8
398,211,2024-07-15,353.8
399,572,2023-07-03,353.8
400,940,2023-04-05,353.8
401,377,2023-05-27,353.8
402,395,2024-03-29,353.8
403,450,2024-12-16,353.8
404,943,2024-04-28,353.8
405,364,2025-01-16,353.8
406,876,2024-12-29,353.8
407,457,2023-06-10,353.8
408,725,2023-05-08,353.8
409,728,2024-02-22,353.8
410,226,2025-03-25,353.8
411,982,2023-07-03,353.8
412,131,2023-11-02,353.8
413,588,2024-11-18,353.8
414,476,2023-12-14,353.8
415,798,2023-09-08,353.8
416,986,2024-10-06,353.8
417,277,2025-01-05,353.8
418,156,2024-11-02,353.8
419,760,2023-07-30,353.8
420,218,2024-09-25,353.8
421,190,2023-05-15,353.8
422,417,2023-08-31,353.8
423,981,2024-06-10,353.8
424,675,2024-12-04,353.8
425,692,2023-05-12,353.8
426,546,2024-02-09,353.8
427,41,2023-07-01,353.8
428,307,2023-04-28,353.8
429,943,2023-11-05,353.8
430,338,2024-08-01,353.8
431,314,2023-08-12,353.8
432,75,2025-02-02,353.8
433,953,2023-07-20,353.8
434,279,2024-03-15,353.8
435,176,2023-06-02,353.8
436,896,2023-05-01,353.8
437,662,2024-10-06,353.8
438,273,2023-08-30,353.8
439,837,2025-01-03,353.8
440,620,2023-06-29,353.8
441,651,2024-07-21,353.8
442,862,2025-01-10,353.8
443,783,2024-03-25,353.8
444,859,2024-12-11,353.8
445,931,2023-05-07,353.8
446,289,2024-10-31,353.8
447,724,2023-11-13,353.8
448,893,2025-01-18,353.8
449,272,2023-04-26,353.8
450,930,2024-09-07,353.8
451,66,2024-07-08,353.8
452,483,2025-03-02,353.8
453,936,2023-04-26,353.8
454,248,2024-01-06,353.8
455,156,2024-06-25,353.8
456,47,2023-12-24,353.8
457,935,2025-01-24,353.8
458,454,2024-03-07,353.8
459,201,2024-12-27,353.8
460,660,2023-04-27,353.8
461,124,2024-04-22,353.8
462,1,2024-10-16,353.8
463,968,2025-02-10,353.8
464,759,2024-04-11,353.8
465,855,2023-11-26,353.8
466,640,2023-06-01,353.8
467,191,2024-04-14,353.8
468,579,2025-03-25,353.8
469,516,2025-01-24,353.8
470,442,2024-07-19,353.8
471,921,2024-05-05,353.8
472,815,2023-12-12,353.8
473,806,2024-11-07,353.8
474,143,2023-05-14,353.8
475,191,2024-08-03,353.8
476,533,2024-01-13,353.8
477,227,2023-09-25,353.8
478,313,2024-08-20,353.8
479,629,2023-08-07,353.8
480,949,2025-01-15,353.8
481,302,2024-01-26,353.8
482,654,2023-05-25,353.8
483,996,2024-06-09,353.8
484,460,2023-12-05,353.8
485,401,2023-07-09,353.8
486,551,2024-01-06,353.8
487,393,2024-10-16,353.8
488,867,2023-09-19,353.8
489,764,2025-02-14,353.8
490,845,2024-01-29,353.8
491,207,2023-05-05,353.8
492,210,2024-10-09,353.8
493,115,2024-02-24,353.8
494,737,2024-12-15,353.8
495,646,2024-12-21,353.8
496,251,2023-06-13,353.8
497,219,2024-10-14,353.8
498,407,2024-05-23,353.8
499,443,2024-03-30,353.8
500,603,2023-10-11,353.8
501,354,2023-04-30,353.8
502,888,2023-06-06,353.8
503,558,2025-01-06,353.8
504,550,2025-03-27,353.8
505,142,2024-04-02,353.8
506,612,2023-09-21,353.8
507,501,2024-05-08,353.8
508,840,2024-11-28,353.8
509,702,2023-12-26,353.8
510,547,2024-07-02,353.8
511,659,2023-12-14,353.8
512,542,2024-08-27,353.8
513,846,2024-06-13,353.8
514,507,2023-07-26,353.8
515,596,2024-03-16,353.8
516,881,2024-12-28,353.8
517,281,2024-10-09,353.8
518,424,2023-10-31,353.8
519,856,2023-04-29,353.8
520,270,2024-01-21,353.8
521,154,2024-06-12,353.8
522,614,2023-04-28,353.8
523,727,2024-11-17,353.8
524,662,2023-09-08,353.8
525,944,2024-07-18,353.8
526,83,2024-10-29,353.8
527,622,2024-08-15,353.8
528,947,2024-03-15,353.8
529,899,2024-12-23,353.8
530,426,2024-01-20,353.8
531,275,2024-10-16,353.8
532,713,2024-12-02,353.8
533,284,2025-02-12,353.8
534,980,2024-04-18,353.8
535,173,2024-08-03,353.8
536,327,2024-03-28,353.8
537,718,2023-10-10,353.8
538,63,2024-10-02,353.8
539,73,2023-06-29,353.8
540,763,2024-01-16,353.8
541,636,2023-06-25,353.8
542,375,2024-12-07,353.8
543,633,2023-05-02,353.8
544,508,2023-08-28,353.8
545,787,2025-03-10,353.8
546,943,2023-08-08,353.8
547,398,2024-11-25,353.8
548,120,2023-05-09,353.8
549,934,2023-06-04,353.8
550,437,2025-04-01,353.8
551,829,2024-04-28,353.8
552,676,2023-04-10,353.8
553,936,2025-01-23,353.8
554,465,2024-04-17,353.8
555,286,2024-08-04,353.8
556,265,2025-03-13,353.8
557,320,2024-12-12,353.8
558,673,2023-07-29,353.8
559,376,2025-03-19,353.8
560,820,2023-06-30,353.8
561,89,2024-01-31,353.8
562,654,2024-03-15,353.8
563,203,2025-03-08,353.8
564,821,2023-08-04,353.8
565,739,2023-05-27,353.8
566,955,2024-10-17,353.8
567,334,2023-06-11,353.8
568,222,2025-03-06,353.8
569,41,2025-01-24,353.8
570,708,2024-10-26,353.8
571,68,2025-03-12,353.8
572,988,2024-06-10,353.8
573,776,2024-03-17,353.8
