PaymentID,CustomerID,OrderID,PaymentMethod,PaymentDate,Amount
1,173,819,Cryptocurrency,2023-11-16,859.34
2,234,700,PayPal,2023-10-06,859.34
3,793,582,Cryptocurrency,2023-12-16,859.34
4,884,805,Bank Transfer,2024-11-08,859.34
5,590,287,PayPal,2024-06-05,859.34
6,620,994,Cryptocurrency,2025-03-13,859.34
7,793,169,PayPal,2024-03-02,859.34
8,403,62,PayPal,2024-10-04,859.34
9,39,349,Credit Card,2025-01-14,859.34
10,119,442,PayPal,2024-08-06,859.34
11,335,14,Credit Card,2023-12-07,859.34
12,336,164,Cryptocurrency,2023-09-18,859.34
13,539,420,Credit Card,2023-06-16,859.34
14,616,757,Credit Card,2025-01-30,859.34
15,74,847,Credit Card,2024-11-29,859.34
16,191,520,Bank Transfer,2024-10-28,859.34
17,324,666,Credit Card,2023-11-09,859.34
18,147,548,PayPal,2025-04-01,859.34
19,767,560,Credit Card,2024-02-10,859.34
20,284,597,PayPal,2024-03-21,859.34
21,213,28,Credit Card,2024-06-08,859.34
22,635,708,Bank Transfer,2023-06-19,859.34
23,718,446,Cryptocurrency,2024-11-30,859.34
24,929,208,Credit Card,2023-05-14,859.34
25,752,470,Credit Card,2024-11-28,859.34
26,394,716,Bank Transfer,2025-02-28,859.34
27,339,976,Credit Card,2024-10-26,859.34
28,798,819,PayPal,2023-08-12,859.34
29,22,104,Credit Card,2023-09-03,859.34
30,771,742,Credit Card,2023-05-22,859.34
31,869,426,Cryptocurrency,2024-11-09,859.34
32,105,101,Cryptocurrency,2024-03-10,859.34
33,466,541,Credit Card,2023-12-14,859.34
34,459,639,Bank Transfer,2024-05-13,859.34
35,432,850,Cryptocurrency,2023-09-04,859.34
36,770,522,Credit Card,2024-03-17,859.34
37,716,106,Cryptocurrency,2024-01-19,859.34
38,822,679,Credit Card,2024-05-10,859.34
39,774,978,Cryptocurrency,2024-06-06,859.34
40,619,769,Cryptocurrency,2024-06-22,859.34
41,763,807,PayPal,2024-01-20,859.34
42,936,277,Credit Card,2025-01-30,859.34
43,221,65,Credit Card,2024-05-22,859.34
44,379,783,Credit Card,2023-06-26,859.34
45,222,900,Credit Card,2025-02-12,859.34
46,258,188,Cryptocurrency,2023-09-12,859.34
47,713,317,PayPal,2024-12-29,859.34
48,367,916,PayPal,2024-09-17,859.34
49,770,138,Bank Transfer,2023-08-31,859.34
50,349,343,Credit Card,2023-04-20,859.34
51,225,105,Bank Transfer,2024-03-31,859.34
52,714,546,Cryptocurrency,2023-11-01,859.34
53,738,380,Bank Transfer,2023-04-04,859.34
54,236,110,Credit Card,2023-10-28,859.34
55,183,944,PayPal,2023-04-26,859.34
56,712,545,PayPal,2024-05-27,859.34
57,869,354,Credit Card,2024-03-25,859.34
58,758,743,Cryptocurrency,2023-08-15,859.34
59,444,317,Credit Card,2024-10-06,859.34
60,865,266,Cryptocurrency,2023-05-03,859.34
61,623,694,PayPal,2024-12-02,859.34
62,6,852,Cryptocurrency,2024-11-30,859.34
63,236,65,Credit Card,2024-04-19,859.34
64,127,333,Credit Card,2025-03-11,859.34
65,104,513,Credit Card,2023-08-05,859.34
66,749,133,Cryptocurrency,2024-07-22,859.34
67,915,592,Cryptocurrency,2023-10-05,859.34
68,480,783,Cryptocurrency,2024-12-09,859.34
69,155,753,PayPal,2024-03-14,859.34
70,257,540,Bank Transfer,2023-08-10,859.34
71,235,735,Bank Transfer,2025-03-02,859.34
72,500,535,Credit Card,2025-02-14,859.34
73,289,496,PayPal,2024-10-08,859.34
74,510,621,Cryptocurrency,2024-04-16,859.34
75,552,619,Credit Card,2023-10-06,859.34
76,800,657,PayPal,2023-06-05,859.34
77,709,369,Credit Card,2023-10-25,859.34
78,785,866,PayPal,2023-06-26,859.34
79,894,909,PayPal,2024-10-08,859.34
80,776,910,Bank Transfer,2023-07-20,859.34
81,569,651,Credit Card,2023-08-11,859.34
82,298,796,Cryptocurrency,2023-06-18,859.34
83,610,810,Bank Transfer,2025-02-10,859.34
84,137,992,Bank Transfer,2023-05-02,859.34
85,376,99,Cryptocurrency,2024-05-11,859.34
86,87,317,PayPal,2024-11-21,859.34
87,419,123,Cryptocurrency,2024-11-07,859.34
88,754,320,Credit Card,2024-07-04,859.34
89,199,799,Cryptocurrency,2023-08-06,859.34
90,463,593,PayPal,2024-10-15,859.34
91,437,495,Cryptocurrency,2024-01-23,859.34
92,310,457,PayPal,2023-09-17,859.34
93,596,522,PayPal,2024-10-18,859.34
94,754,520,Credit Card,2024-06-14,859.34
95,281,917,Cryptocurrency,2023-10-02,859.34
96,323,717,Cryptocurrency,2024-11-08,859.34
97,764,315,Credit Card,2023-09-13,859.34
98,702,946,PayPal,2024-09-15,859.34
99,951,709,Cryptocurrency,2025-01-19,859.34
100,942,710,Credit Card,2023-04-29,859.34
101,152,542,PayPal,2023-06-27,859.34
102,994,479,Credit Card,2023-12-25,859.34
103,302,913,Cryptocurrency,2023-10-24,859.34
104,278,971,Credit Card,2023-06-04,859.34
105,651,20,Bank Transfer,2024-04-23,859.34
106,688,560,PayPal,2024-01-09,859.34
107,8,969,Bank Transfer,2024-12-31,859.34
108,807,130,Bank Transfer,2023-11-12,859.34
109,235,293,PayPal,2024-03-04,859.34
110,675,897,PayPal,2023-08-14,859.34
111,561,132,Credit Card,2024-09-01,859.34
112,302,356,PayPal,2024-10-11,859.34
113,38,54,Bank Transfer,2025-01-06,859.34
114,136,890,Bank Transfer,2023-09-12,859.34
115,822,793,Cryptocurrency,2024-04-04,859.34
116,421,387,PayPal,2024-05-15,859.34
117,219,265,Bank Transfer,2023-08-05,859.34
118,348,982,Cryptocurrency,2024-11-13,859.34
119,808,215,Cryptocurrency,2024-10-30,859.34
120,546,460,Credit Card,2023-11-12,859.34
121,864,458,Bank Transfer,2025-01-14,859.34
122,79,802,Credit Card,2024-04-16,859.34
123,748,43,Bank Transfer,2024-06-12,859.34
